Alfa,CotaError,MaxIteraciones,iteracion,Iguales Exactas,Parecidas,Iguales Exactas Test,Parecidas Test
0.4000,0.100000,50,3,127,127,32,32
0.4000,0.050000,50,3,130,130,33,33
0.4000,0.001000,50,36,151,151,36,36
0.4000,0.000500,50,31,146,146,32,32
0.4000,0.000010,50,50,153,153,37,37
0.4000,0.100000,100,3,122,122,31,31
0.4000,0.050000,100,4,113,113,22,22
0.4000,0.001000,100,9,138,138,36,36
0.4000,0.000500,100,62,152,152,37,37
0.4000,0.000010,100,100,148,148,40,40
0.4000,0.100000,150,4,141,141,29,29
0.4000,0.050000,150,4,132,132,29,29
0.4000,0.001000,150,16,144,144,36,36
0.4000,0.000500,150,95,155,155,35,35
0.4000,0.000010,150,150,153,153,39,39
0.4000,0.100000,200,4,133,133,30,30
0.4000,0.050000,200,6,136,136,33,33
0.4000,0.001000,200,24,144,144,37,37
0.4000,0.000500,200,75,154,154,40,40
0.4000,0.000010,200,87,154,154,36,36
0.3000,0.100000,50,3,127,127,30,30
0.3000,0.050000,50,6,124,124,27,27
0.3000,0.001000,50,18,142,142,36,36
0.3000,0.000500,50,30,138,138,35,35
0.3000,0.000010,50,50,147,147,37,37
0.3000,0.100000,100,4,132,132,29,29
0.3000,0.050000,100,3,117,117,31,31
0.3000,0.001000,100,21,143,143,35,35
0.3000,0.000500,100,34,145,145,35,35
0.3000,0.000010,100,100,145,145,37,37
0.3000,0.100000,150,4,126,126,29,29
0.3000,0.050000,150,5,123,123,29,29
0.3000,0.001000,150,30,143,143,36,36
0.3000,0.000500,150,24,141,141,32,32
0.3000,0.000010,150,150,152,152,38,38
0.3000,0.100000,200,4,124,124,33,33
0.3000,0.050000,200,4,121,121,26,26
0.3000,0.001000,200,90,147,147,39,39
0.3000,0.000500,200,13,137,137,32,32
0.3000,0.000010,200,200,154,154,37,37
0.2000,0.100000,50,3,110,110,34,34
0.2000,0.050000,50,4,116,116,29,29
0.2000,0.001000,50,28,141,141,33,33
0.2000,0.000500,50,42,144,144,32,32
0.2000,0.000010,50,50,141,141,39,39
0.2000,0.100000,100,4,109,109,30,30
0.2000,0.050000,100,4,113,113,33,33
0.2000,0.001000,100,47,141,141,37,37
0.2000,0.000500,100,70,147,147,36,36
0.2000,0.000010,100,100,148,148,39,39
0.2000,0.100000,150,3,111,111,33,33
0.2000,0.050000,150,3,115,115,26,26
0.2000,0.001000,150,10,123,123,34,34
0.2000,0.000500,150,75,145,145,37,37
0.2000,0.000010,150,150,150,150,36,36
0.2000,0.100000,200,3,111,111,30,30
0.2000,0.050000,200,5,116,116,28,28
0.2000,0.001000,200,37,142,142,34,34
0.2000,0.000500,200,78,147,147,34,34
0.2000,0.000010,200,200,148,148,38,38
0.1000,0.100000,50,3,82,82,17,17
0.1000,0.050000,50,4,95,95,22,22
0.1000,0.001000,50,41,132,132,34,34
0.1000,0.000500,50,50,133,133,31,31
0.1000,0.000010,50,50,134,134,34,34
0.1000,0.100000,100,3,89,89,19,19
0.1000,0.050000,100,4,97,97,20,20
0.1000,0.001000,100,44,131,131,33,33
0.1000,0.000500,100,58,137,137,34,34
0.1000,0.000010,100,100,140,140,33,33
0.1000,0.100000,150,3,88,88,22,22
0.1000,0.050000,150,5,97,97,25,25
0.1000,0.001000,150,35,128,128,27,27
0.1000,0.000500,150,65,135,135,35,35
0.1000,0.000010,150,150,142,142,36,36
0.1000,0.100000,200,3,84,84,20,20
0.1000,0.050000,200,4,96,96,25,25
0.1000,0.001000,200,34,130,130,29,29
0.1000,0.000500,200,56,135,135,30,30
0.1000,0.000010,200,200,141,141,37,37
0.0500,0.100000,50,4,71,71,16,16
0.0500,0.050000,50,4,72,72,11,11
0.0500,0.001000,50,38,128,128,23,23
0.0500,0.000500,50,50,121,121,32,32
0.0500,0.000010,50,50,124,124,35,35
0.0500,0.100000,100,4,71,71,15,15
0.0500,0.050000,100,5,70,70,18,18
0.0500,0.001000,100,46,122,122,32,32
0.0500,0.000500,100,74,129,129,34,34
0.0500,0.000010,100,100,133,133,30,30
0.0500,0.100000,150,4,64,64,17,17
0.0500,0.050000,150,5,80,80,20,20
0.0500,0.001000,150,43,123,123,29,29
0.0500,0.000500,150,73,130,130,32,32
0.0500,0.000010,150,150,136,136,31,31
0.0500,0.100000,200,4,66,66,16,16
0.0500,0.050000,200,4,65,65,18,18
0.0500,0.001000,200,39,118,118,32,32
0.0500,0.000500,200,63,125,125,34,34
0.0500,0.000010,200,200,138,138,35,35
0.0400,0.100000,50,4,67,67,11,11
0.0400,0.050000,50,4,60,60,10,10
0.0400,0.001000,50,44,123,123,28,28
0.0400,0.000500,50,50,123,123,28,28
0.0400,0.000010,50,50,117,117,29,29
0.0400,0.100000,100,4,56,56,13,13
0.0400,0.050000,100,5,59,59,16,16
0.0400,0.001000,100,46,118,118,32,32
0.0400,0.000500,100,75,124,124,31,31
0.0400,0.000010,100,100,129,129,31,31
0.0400,0.100000,150,3,52,52,13,13
0.0400,0.050000,150,5,62,62,10,10
0.0400,0.001000,150,47,118,118,32,32
0.0400,0.000500,150,66,121,121,32,32
0.0400,0.000010,150,150,135,135,31,31
0.0400,0.100000,200,4,64,64,15,15
0.0400,0.050000,200,5,74,74,11,11
0.0400,0.001000,200,41,120,120,26,26
0.0400,0.000500,200,77,124,124,34,34
0.0400,0.000010,200,200,134,134,36,36
0.0300,0.100000,50,4,45,45,13,13
0.0300,0.050000,50,5,75,75,9,9
0.0300,0.001000,50,45,114,114,27,27
0.0300,0.000500,50,50,113,113,29,29
0.0300,0.000010,50,50,112,112,30,30
0.0300,0.100000,100,4,40,40,11,11
0.0300,0.050000,100,5,56,56,15,15
0.0300,0.001000,100,49,109,109,30,30
0.0300,0.000500,100,81,120,120,32,32
0.0300,0.000010,100,100,124,124,34,34
0.0300,0.100000,150,3,39,39,9,9
0.0300,0.050000,150,5,54,54,11,11
0.0300,0.001000,150,42,113,113,24,24
0.0300,0.000500,150,85,119,119,37,37
0.0300,0.000010,150,150,134,134,28,28
0.0300,0.100000,200,4,43,43,15,15
0.0300,0.050000,200,5,55,55,13,13
0.0300,0.001000,200,44,116,116,27,27
0.0300,0.000500,200,76,119,119,34,34
0.0300,0.000010,200,200,134,134,33,33
0.0200,0.100000,50,5,35,35,4,4
0.0200,0.050000,50,5,36,36,14,14
0.0200,0.001000,50,48,109,109,27,27
0.0200,0.000500,50,50,106,106,25,25
0.0200,0.000010,50,50,103,103,32,32
0.0200,0.100000,100,4,31,31,8,8
0.0200,0.050000,100,6,39,39,8,8
0.0200,0.001000,100,49,109,109,27,27
0.0200,0.000500,100,84,117,117,30,30
0.0200,0.000010,100,100,118,118,31,31
0.0200,0.100000,150,4,35,35,5,5
0.0200,0.050000,150,5,38,38,6,6
0.0200,0.001000,150,54,107,107,30,30
0.0200,0.000500,150,76,116,116,25,25
0.0200,0.000010,150,150,124,124,33,33
0.0200,0.100000,200,4,28,28,4,4
0.0200,0.050000,200,6,34,34,10,10
0.0200,0.001000,200,51,108,108,27,27
0.0200,0.000500,200,78,117,117,26,26
0.0200,0.000010,200,200,124,124,36,36
0.0100,0.100000,50,5,7,7,2,2
0.0100,0.050000,50,6,16,16,3,3
0.0100,0.001000,50,50,95,95,23,23
0.0100,0.000500,50,50,94,94,24,24
0.0100,0.000010,50,50,92,92,25,25
0.0100,0.100000,100,5,3,3,1,1
0.0100,0.050000,100,6,16,16,4,4
0.0100,0.001000,100,58,95,95,22,22
0.0100,0.000500,100,95,109,109,25,25
0.0100,0.000010,100,100,104,104,28,28
0.0100,0.100000,150,5,4,4,1,1
0.0100,0.050000,150,7,16,16,6,6
0.0100,0.001000,150,56,97,97,24,24
0.0100,0.000500,150,93,106,106,24,24
0.0100,0.000010,150,150,117,117,27,27
0.0100,0.100000,200,6,13,13,4,4
0.0100,0.050000,200,6,15,15,4,4
0.0100,0.001000,200,56,96,96,20,20
0.0100,0.000500,200,92,107,107,25,25
0.0100,0.000010,200,200,116,116,32,32
0.0010,0.100000,50,2,69,69,21,21
0.0010,0.050000,50,2,72,72,19,19
0.0010,0.001000,50,50,3,3,0,0
0.0010,0.000500,50,50,3,3,1,1
0.0010,0.000010,50,50,13,13,2,2
0.0010,0.100000,100,2,71,71,15,15
0.0010,0.050000,100,2,64,64,18,18
0.0010,0.001000,100,100,33,33,5,5
0.0010,0.000500,100,2,74,74,17,17
0.0010,0.000010,100,100,28,28,8,8
0.0010,0.100000,150,2,72,72,18,18
0.0010,0.050000,150,2,70,70,18,18
0.0010,0.001000,150,130,42,42,11,11
0.0010,0.000500,150,150,50,50,12,12
0.0010,0.000010,150,150,51,51,14,14
0.0010,0.100000,200,2,76,76,15,15
0.0010,0.050000,200,2,70,70,19,19
0.0010,0.001000,200,125,41,41,11,11
0.0010,0.000500,200,200,57,57,18,18
0.0010,0.000010,200,200,59,59,13,13
