Alfa,CotaError,MaxIteraciones,iteracion,Iguales Exactas,Parecidas,Eficiencia Training,Iguales Exactas Test,Parecidas Test,Eficiencia Test
0.0010,0.000100,500,500,22,22,"13,75%",3,3,"7,50%"
0.0010,0.001000,500,52,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,500,2,69,69,"43,13%",21,21,"52,50%"
0.0010,0.100000,500,2,34,34,"21,25%",13,13,"32,50%"
0.0010,0.000100,1000,554,26,26,"16,25%",6,6,"15,00%"
0.0010,0.001000,1000,54,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1000,2,20,20,"12,50%",6,6,"15,00%"
0.0010,0.100000,1000,2,74,74,"46,25%",12,12,"30,00%"
0.0010,0.000100,1100,539,31,31,"19,38%",3,3,"7,50%"
0.0010,0.001000,1100,75,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1100,2,48,48,"30,00%",11,11,"27,50%"
0.0010,0.100000,1100,2,33,33,"20,63%",5,5,"12,50%"
0.0010,0.000100,1200,556,32,32,"20,00%",4,4,"10,00%"
0.0010,0.001000,1200,85,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1200,2,69,69,"43,13%",19,19,"47,50%"
0.0010,0.100000,1200,2,68,68,"42,50%",20,20,"50,00%"
0.0010,0.000100,1300,493,29,29,"18,13%",3,3,"7,50%"
0.0010,0.001000,1300,2,71,71,"44,38%",18,18,"45,00%"
0.0010,0.010000,1300,2,62,62,"38,75%",16,16,"40,00%"
0.0010,0.100000,1300,2,29,29,"18,13%",4,4,"10,00%"
0.0010,0.000100,1400,521,23,23,"14,38%",8,8,"20,00%"
0.0010,0.001000,1400,52,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1400,2,56,56,"35,00%",14,14,"35,00%"
0.0010,0.100000,1400,2,38,38,"23,75%",11,11,"27,50%"
0.0010,0.000100,1500,509,27,27,"16,88%",5,5,"12,50%"
0.0010,0.001000,1500,47,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1500,2,39,39,"24,38%",14,14,"35,00%"
0.0010,0.100000,1500,2,38,38,"23,75%",6,6,"15,00%"
0.0010,0.000100,1600,581,27,27,"16,88%",5,5,"12,50%"
0.0010,0.001000,1600,72,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1600,2,2,2,"1,25%",1,1,"2,50%"
0.0010,0.100000,1600,2,50,50,"31,25%",18,18,"45,00%"
0.0010,0.000100,1700,585,29,29,"18,13%",7,7,"17,50%"
0.0010,0.001000,1700,78,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1700,2,51,51,"31,88%",11,11,"27,50%"
0.0010,0.100000,1700,2,18,18,"11,25%",5,5,"12,50%"
0.0010,0.000100,1800,518,22,22,"13,75%",7,7,"17,50%"
0.0010,0.001000,1800,89,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1800,2,63,63,"39,38%",15,15,"37,50%"
0.0010,0.100000,1800,2,62,62,"38,75%",22,22,"55,00%"
0.0010,0.000100,1900,582,26,26,"16,25%",6,6,"15,00%"
0.0010,0.001000,1900,58,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,1900,2,56,56,"35,00%",15,15,"37,50%"
0.0010,0.100000,1900,2,55,55,"34,38%",14,14,"35,00%"
0.0010,0.000100,2000,581,28,28,"17,50%",6,6,"15,00%"
0.0010,0.001000,2000,85,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,2000,2,54,54,"33,75%",15,15,"37,50%"
0.0010,0.100000,2000,2,66,66,"41,25%",20,20,"50,00%"
0.0010,0.000100,2100,520,21,21,"13,13%",10,10,"25,00%"
0.0010,0.001000,2100,47,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,2100,2,54,54,"33,75%",13,13,"32,50%"
0.0010,0.100000,2100,2,64,64,"40,00%",14,14,"35,00%"
0.0010,0.000100,2200,566,31,31,"19,38%",6,6,"15,00%"
0.0010,0.001000,2200,52,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,2200,2,73,73,"45,63%",16,16,"40,00%"
0.0010,0.100000,2200,2,49,49,"30,63%",17,17,"42,50%"
0.0010,0.000100,2300,551,27,27,"16,88%",7,7,"17,50%"
0.0010,0.001000,2300,52,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,2300,2,60,60,"37,50%",9,9,"22,50%"
0.0010,0.100000,2300,2,53,53,"33,13%",7,7,"17,50%"
0.0010,0.000100,2400,515,29,29,"18,13%",8,8,"20,00%"
0.0010,0.001000,2400,60,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,2400,2,56,56,"35,00%",16,16,"40,00%"
0.0010,0.100000,2400,2,41,41,"25,63%",9,9,"22,50%"
0.0010,0.000100,2500,532,26,26,"16,25%",6,6,"15,00%"
