Alfa,CotaError,MaxIteraciones,iteracion,Iguales Exactas,Parecidas,Iguales Exactas Test,Parecidas Test
0.0010,0.000100,1000,575,94,94,26,26
0.0010,0.001000,1000,112,45,45,9,9
0.0010,0.010000,1000,2,71,71,16,16
0.0010,0.100000,1000,2,76,76,15,15
0.0010,0.000100,1500,529,96,96,23,23
0.0010,0.001000,1500,147,42,42,13,13
0.0010,0.010000,1500,31,0,0,0,0
0.0010,0.100000,1500,2,34,34,6,6
0.0010,0.000100,2000,590,93,93,25,25
0.0010,0.001000,2000,121,45,45,11,11
0.0010,0.010000,2000,27,0,0,0,0
0.0010,0.100000,2000,2,50,50,14,14
0.0010,0.000100,3000,571,93,93,26,26
0.0010,0.001000,3000,136,43,43,11,11
0.0010,0.010000,3000,25,5,5,0,0
0.0010,0.100000,3000,2,72,72,19,19
0.0050,0.000100,1000,361,119,119,28,28
0.0050,0.001000,1000,70,88,88,16,16
0.0050,0.010000,1000,2,74,74,16,16
0.0050,0.100000,1000,5,1,1,0,0
0.0050,0.000100,1500,348,118,118,26,26
0.0050,0.001000,1500,75,86,86,21,21
0.0050,0.010000,1500,18,34,34,6,6
0.0050,0.100000,1500,5,0,0,0,0
0.0050,0.000100,2000,393,115,115,32,32
0.0050,0.001000,2000,69,85,85,20,20
0.0050,0.010000,2000,15,22,22,4,4
0.0050,0.100000,2000,5,0,0,0,0
0.0050,0.000100,3000,360,115,115,30,30
0.0050,0.001000,3000,68,86,86,20,20
0.0050,0.010000,3000,19,30,30,9,9
0.0050,0.100000,3000,4,1,1,0,0
0.0030,0.000100,1000,440,105,105,33,33
0.0030,0.001000,1000,84,70,70,19,19
0.0030,0.010000,1000,19,12,12,3,3
0.0030,0.100000,1000,5,0,0,0,0
0.0030,0.000100,1500,430,110,110,26,26
0.0030,0.001000,1500,89,72,72,22,22
0.0030,0.010000,1500,24,16,16,6,6
0.0030,0.100000,1500,2,68,68,21,21
0.0030,0.000100,2000,426,110,110,31,31
0.0030,0.001000,2000,86,68,68,23,23
0.0030,0.010000,2000,24,22,22,4,4
0.0030,0.100000,2000,7,0,0,0,0
0.0030,0.000100,3000,412,112,112,26,26
0.0030,0.001000,3000,83,77,77,17,17
0.0030,0.010000,3000,2,70,70,21,21
0.0030,0.100000,3000,4,0,0,0,0
0.0500,0.000100,1000,221,140,140,33,33
0.0500,0.001000,1000,44,121,121,32,32
0.0500,0.010000,1000,9,87,87,27,27
0.0500,0.100000,1000,3,55,55,13,13
0.0500,0.000100,1500,201,141,141,31,31
0.0500,0.001000,1500,40,128,128,27,27
0.0500,0.010000,1500,9,97,97,23,23
0.0500,0.100000,1500,4,67,67,15,15
0.0500,0.000100,2000,198,141,141,32,32
0.0500,0.001000,2000,49,120,120,35,35
0.0500,0.010000,2000,9,96,96,25,25
0.0500,0.100000,2000,3,62,62,14,14
0.0500,0.000100,3000,206,139,139,33,33
0.0500,0.001000,3000,42,124,124,30,30
0.0500,0.010000,3000,8,87,87,24,24
0.0500,0.100000,3000,4,66,66,16,16
0.1000,0.000100,1000,223,144,144,37,37
0.1000,0.001000,1000,37,135,135,26,26
0.1000,0.010000,1000,7,109,109,21,21
0.1000,0.100000,1000,3,91,91,20,20
0.1000,0.000100,1500,167,143,143,36,36
0.1000,0.001000,1500,45,134,134,33,33
0.1000,0.010000,1500,9,111,111,32,32
0.1000,0.100000,1500,3,87,87,26,26
0.1000,0.000100,2000,193,141,141,38,38
0.1000,0.001000,2000,42,133,133,31,31
0.1000,0.010000,2000,9,113,113,25,25
0.1000,0.100000,2000,3,84,84,26,26
0.1000,0.000100,3000,204,142,142,36,36
0.1000,0.001000,3000,39,135,135,32,32
0.1000,0.010000,3000,9,111,111,27,27
0.1000,0.100000,3000,3,95,95,21,21
0.2000,0.000100,1000,187,152,152,37,37
0.2000,0.001000,1000,47,142,142,35,35
0.2000,0.010000,1000,9,126,126,30,30
0.2000,0.100000,1000,3,112,112,25,25
0.2000,0.000100,1500,134,148,148,36,36
0.2000,0.001000,1500,15,134,134,30,30
0.2000,0.010000,1500,7,127,127,31,31
0.2000,0.100000,1500,3,106,106,28,28
0.2000,0.000100,2000,203,152,152,36,36
0.2000,0.001000,2000,41,142,142,37,37
0.2000,0.010000,2000,7,130,130,30,30
0.2000,0.100000,2000,3,107,107,31,31
0.2000,0.000100,3000,218,149,149,36,36
0.2000,0.001000,3000,34,136,136,36,36
0.2000,0.010000,3000,6,122,122,30,30
0.2000,0.100000,3000,3,114,114,26,26
0.3000,0.000100,1000,140,149,149,35,35
0.3000,0.001000,1000,15,138,138,36,36
0.3000,0.010000,1000,11,139,139,33,33
0.3000,0.100000,1000,4,119,119,35,35
0.3000,0.000100,1500,50,145,145,34,34
0.3000,0.001000,1500,6,131,131,33,33
0.3000,0.010000,1500,8,134,134,32,32
0.3000,0.100000,1500,3,117,117,27,27
0.3000,0.000100,2000,32,147,147,32,32
0.3000,0.001000,2000,17,137,137,35,35
0.3000,0.010000,2000,6,123,123,33,33
0.3000,0.100000,2000,3,118,118,35,35
0.3000,0.000100,3000,41,142,142,35,35
0.3000,0.001000,3000,19,140,140,37,37
0.3000,0.010000,3000,9,136,136,33,33
0.3000,0.100000,3000,3,114,114,26,26
0.4000,0.000100,1000,181,157,157,38,38
0.4000,0.001000,1000,49,154,154,35,35
0.4000,0.010000,1000,6,126,126,31,31
0.4000,0.100000,1000,5,130,130,36,36
0.4000,0.000100,1500,103,152,152,37,37
0.4000,0.001000,1500,92,149,149,40,40
0.4000,0.010000,1500,9,124,124,35,35
0.4000,0.100000,1500,3,114,114,28,28
0.4000,0.000100,2000,119,154,154,38,38
0.4000,0.001000,2000,24,145,145,35,35
0.4000,0.010000,2000,16,142,142,35,35
0.4000,0.100000,2000,4,132,132,33,33
0.4000,0.000100,3000,60,153,153,35,35
0.4000,0.001000,3000,87,149,149,39,39
0.4000,0.010000,3000,4,128,128,35,35
0.4000,0.100000,3000,3,133,133,28,28
