 Alfa, CotaError, MaxIteraciones, iteracion, Cantidad Patrones Training, Iguales Exactas Training, Parecidas Training,Eficiencia Training,Cantidad Patrones Test,Iguales Exactas Test,Parecidas Test, Eficiencia Test
0.4000,0.000100,2000,26,160,146,146,0.9125,40,35,35,0.8750
0.4000,0.000100,2000,159,160,157,157,0.9812,40,39,39,0.9750
0.4000,0.000100,2000,78,160,152,152,0.9500,40,37,37,0.9250
0.4000,0.000100,2000,14,160,141,141,0.8812,40,37,37,0.9250
0.4000,0.000100,2000,160,160,152,152,0.9500,40,39,39,0.9750
0.4000,0.000100,2000,64,160,153,153,0.9563,40,34,34,0.8500
0.4000,0.000100,2000,75,160,154,154,0.9625,40,37,37,0.9250
0.4000,0.000100,2000,61,160,152,152,0.9500,40,37,37,0.9250
0.4000,0.000100,2000,60,160,152,152,0.9500,40,39,39,0.9750
0.4000,0.000100,2000,94,160,151,151,0.9437,40,39,39,0.9750
